,year,tournament,round,match_time,player1,player2,player1_set1,player2_set1,player1_set2,player2_set2,player1_set3,player2_set3
70,2019,Lingshui China Masters 2019,R32,0:34,LOH Kean Yew,Lakshya SEN,12,21,13,21,,
71,2019,YONEX German Open 2019,Qual. R16,1:07,Thomas ROUXEL,LOH Kean Yew,18,21,21,16,21,14
72,2019,Barcelona Spain Masters 2019,R32,0:29,Jan O JORGENSEN,LOH Kean Yew,17,21,19,21,,
73,2019,Barcelona Spain Masters 2019,R16,0:57,LOH Kean Yew,PARUPALLI Kashyap,21,12,18,21,21,15
74,2019,Barcelona Spain Masters 2019,QF,0:31,Viktor AXELSEN,LOH Kean Yew,21,13,21,10,,
75,2019,RSL Swedish Open 2019,R32,0:23,LOH Kean Yew,Jeppe BRUUN,21,10,21,9,,
76,2019,RSL Swedish Open 2019,R16,0:43,LOH Kean Yew,Joran KWEEKEL,19,21,21,10,21,9
77,2019,RSL Swedish Open 2019,QF,0:44,LOH Kean Yew,Kalle KOLJONEN,15,21,21,16,21,12
78,2019,RSL Swedish Open 2019,SF,0:34,Hashiru SHIMONO,LOH Kean Yew,13,21,18,21,,
79,2019,RSL Swedish Open 2019,Final,0:40,Minoru KOGA,LOH Kean Yew,21,11,21,15,,
80,2019,PRINCESS SIRIVANNAVARI Thailand Masters 2019,Qual. R16,0:35,SUN Fei Xiang,LOH Kean Yew,16,21,10,21,,
81,2019,PRINCESS SIRIVANNAVARI Thailand Masters 2019,Qual. QF,0:28,LIU Hai Chao,LOH Kean Yew,7,21,16,21,,
82,2019,PRINCESS SIRIVANNAVARI Thailand Masters 2019,R32,0:38,LOH Kean Yew,ZHOU Ze Qi,21,13,21,17,,
83,2019,PRINCESS SIRIVANNAVARI Thailand Masters 2019,R16,0:39,LOH Kean Yew,ZHAO Jun Peng,21,10,21,19,,
84,2019,PRINCESS SIRIVANNAVARI Thailand Masters 2019,QF,1:09,WANG Tzu Wei,LOH Kean Yew,19,21,22,20,11,21
85,2019,PRINCESS SIRIVANNAVARI Thailand Masters 2019,SF,0:57,Brice LEVERDEZ,LOH Kean Yew,21,14,10,21,14,21
86,2019,PRINCESS SIRIVANNAVARI Thailand Masters 2019,Final,0:46,LIN Dan,LOH Kean Yew,19,21,18,21,,
87,2018,Scottish Open 2018,R64,0:59,LOH Kean Yew,Jason Anthony HO-SHUE,21,18,13,21,14,21
88,2018,SaarLorLux Open 2018,R64,0:29,LOH Kean Yew,Joonas KORHONEN,21,16,21,12,,
89,2018,SaarLorLux Open 2018,R32,0:50,LOH Kean Yew,Kim BRUUN,17,21,21,8,21,15
90,2018,SaarLorLux Open 2018,R16,0:45,LOH Kean Yew,Rajiv OUSEPH,11,21,21,18,10,21
91,2018,Singapore International Series 2018,R32,0:24,LOH Kean Yew,Henrikho KHO WIBOWO,21,7,21,9,,
92,2018,Singapore International Series 2018,R16,0:30,LOH Kean Yew,CHAN Yin Chak,21,16,21,12,,
93,2018,Singapore International Series 2018,QF,1:10,LEE Cheuk Yiu,LOH Kean Yew,17,21,21,17,30,29
94,2018,South Australia International 2018,R64,0:29,LOH Kean Yew,Peter YAN,21,13,21,14,,
95,2018,South Australia International 2018,R32,0:38,LOH Kean Yew,Naohiro MATSUKAWA,21,18,21,13,,
96,2018,South Australia International 2018,R16,0:52,LOH Kean Yew,Tien Minh NGUYEN,21,18,14,21,21,10
97,2018,South Australia International 2018,QF,1:06,SOO Teck Zhi,LOH Kean Yew,16,21,21,18,14,21
98,2018,South Australia International 2018,SF,0:42,Riichi TAKESHITA,LOH Kean Yew,14,21,13,21,,
99,2018,South Australia International 2018,Final,1:20,Yu IGARASHI,LOH Kean Yew,21,19,22,24,21,11
100,2018,Singapore Open 2018,Qual. R16,0:48,Adulrach NAMKUL,LOH Kean Yew,23,21,10,21,17,21
101,2018,Singapore Open 2018,Qual. QF,0:31,LU Chia Hung,LOH Kean Yew,19,21,16,21,,
102,2018,Singapore Open 2018,R32,0:38,LOH Kean Yew,Lucas CORVEE,21,15,21,16,,
103,2018,Singapore Open 2018,R16,0:36,LEE Hyun Il,LOH Kean Yew,21,16,21,13,,
104,2018,Mongolia International Series 2018,R32,0:22,LOH Kean Yew,Kar Lung CHUN,21,14,21,10,,
105,2018,Mongolia International Series 2018,R16,0:26,LOH Kean Yew,Simon WANG,21,16,21,13,,
106,2018,Mongolia International Series 2018,QF,0:40,Sergey SIRANT,LOH Kean Yew,9,21,21,18,14,21
107,2018,Mongolia International Series 2018,SF,0:27,LOH Kean Yew,Dmitriy PANARIN,21,12,21,12,,
108,2018,Mongolia International Series 2018,Final,0:47,LOH Kean Yew,Andre MARTEEN,15,21,21,9,24,22
109,2018,2018 Commonwealth Games,R64,0:21,LOH Kean Yew,Bongani VON BODENSTEIN,21,11,21,9,,
110,2018,2018 Commonwealth Games,R32,1:00,LOH Kean Yew,Kieran MERRILEES,21,12,18,21,21,18
111,2018,2018 Commonwealth Games,R16,0:31,Brian YANG,LOH Kean Yew,16,21,17,21,,
112,2018,2018 Commonwealth Games,QF,0:44,LOH Kean Yew,LEE Chong Wei,13,21,16,21,,
113,2018,2018 Commonwealth Games,R2,0:30,LOH Kean Yew,Georges Julien PAUL,21,14,21,15,,
114,2018,2018 Commonwealth Games,QF,0:28,LOH Kean Yew,Anthony JOE,21,8,21,6,,
115,2018,2018 Commonwealth Games,SF,0:37,KIDAMBI Srikanth,LOH Kean Yew,21,17,21,14,,
116,2018,2018 Commonwealth Games,3/4,1:07,LOH Kean Yew,Rajiv OUSEPH,22,20,15,21,23,25
117,2018,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2018,R64,0:20,LOH Kean Yew,Rajat RATHORE,21,14,21,7,,
118,2018,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2018,R32,0:41,Kento MOMOTA,LOH Kean Yew,21,17,21,18,,
119,2018,Austrian Open 2018,Qual. R64,0:00,Joran KWEEKEL,LOH Kean Yew,,,,,,
120,2018,Austrian Open 2018,Qual. R32,1:03,YU Chen,LOH Kean Yew,21,14,17,21,19,21
121,2018,Austrian Open 2018,Qual. R16,0:33,LOH Kean Yew,Felix BURESTEDT,17,21,14,21,,
122,2017,OUE Singapore International Series 2017,R64,0:48,Ju Hyung SON,LOH Kean Yew,21,17,8,21,19,21
123,2017,OUE Singapore International Series 2017,R32,0:40,LOH Kean Yew,YEOH Seng Zoe,21,9,21,15,,
124,2017,OUE Singapore International Series 2017,R16,0:45,LOH Kean Yew,Gatjra  Piliang  Fiqihilahi CUPU,21,16,21,17,,
125,2017,OUE Singapore International Series 2017,QF,0:34,LOH Kean Yew,Chico  Aura DWI WARDOYO,21,14,21,14,,
126,2017,OUE Singapore International Series 2017,SF,0:30,LOH Kean Yew,LEONG Jun Hao,21,10,21,14,,
127,2017,OUE Singapore International Series 2017,Final,0:31,NG Zin Rei Ryan,LOH Kean Yew,15,21,15,21,,
128,2017,CELCOM AXIATA Malaysia International Series 2017,R64,0:37,LOH Kean Yew,CHONG Yee Han,21,19,21,19,,
129,2017,CELCOM AXIATA Malaysia International Series 2017,R32,0:28,N. V. S. Vijetha,LOH Kean Yew,14,21,9,21,,
130,2017,CELCOM AXIATA Malaysia International Series 2017,R16,0:30,LOH Kean Yew,Saran JAMSRI,21,13,21,10,,
